id	marque	designation	annee	km	prix
720	renault	Renault Laguna 3 Estate 2.0 dCi 150ch Dynamique	2008	34000	18500
721	alfa romeo	ALFA ROMEO GT coupé 150 CV DIESEL	2007	41095	15780
722	seat	Nouvelle seat ibiza tdi 105 cv 08/2008	2008	36000	11800
723	renault	Laguna 2 estate	2003	126000	6500
724	peugeot	Peugeot 407 sw pack sport 2.0hdi 136ch	2006	185700	9500
725	citroen	CITROEN C8 2.2 hdi 130 CH pack fap noir	2004	149000	10500
726	nissan	Missan x-trail	2003	68738	10400
727	audi	Audi S3 2&virgule;0 TFSI 05/2008 24260km Toutes options	2008	24260	33000
728	peugeot	Tres belle 607 hdi 2.2 l 136 cv pack luxe	2003	135617	6990
729	audi	Tres belle audi a4 tdi 130	2002	170000	7800
730	seat	Nouvelle seat ibiza grand via 1&virgule;9 l 105 ch	2009	5300	15000
731	renault	Renault laguna Estate 1.9 DCI 120CV à 4350\u0080	2002	172500	4350
732	citroen	Tres belle citroen c5 exclusive 2.2 hdi 138	2001	159000	6300
733	renault	Laguna 1.9 dci 120cv estate privilège	2003	116000	6800
734	renault	Megane dci expression 2007 1ere main 120000km	2007	120000	5800
735	renault	Mégane 2 Sport Dynamique	2003	105000	7800
736	honda	Honda fr-v 2.2 ctdi executive 140cv 6 places + opt	2008	23000	26000
737	volkswagen	Touran 2.0 tdi 140 cv boite dsg	2005	94000	11500
738	mini	Touran TDI 140 CV - DSG - SPORT 7 pl. Pack Hiver	2005	145000	12000
739	audi	Audi A4 breack quattro	2002	95000	12300
740	skoda	Skoda Octavia 2.0 TDI 140 Confort	2005	95000	10900
741	citroen	Citroen picasso 2.0 hdi 90 cv a-r-o	2002	145000	5990
742	alfa romeo	Alfa Romeo 147 TI 150CV serie SPECIAL sport	2006	67000	13400
743	audi	AUDI A3 1.9 TDI 105 cv excellent état	2007	33000	19000
744	audi	Echange audi a4/s4	1997	230000	4600
745	citroen	Citroen xsara break 2.0hdi 90 an 2000 245000km tbe	2000	245000	2800
746	citroen	Citroen xsara 1.9d 70cv	2002	155000	2500
747	renault	Renault espace 2.2dt rxe115cv 7sièges1999-308000km	1999	308000	2900
748	peugeot	Peugeot 206 SW BREAK 2.0 L HDI 90 PACK QUIKSILVER	2004	84000	7950
749	hyundai	Hyundai elantra crdi	2004	190000	4500
750	renault	Grand Scénic 3 Expression 7 places 1.9 dCi 130 cv	2009	10000	20700
751	audi	Audi a3 2.0 tdi ambition	2004	120000	11500
752	citroen	CITROEN C8 2.0L 143cv an2006-29700km COMME NEUF	2006	29700	21000
753	audi	À Saisir Audi A3 TDI 140 Ambition Luxe	2006	78000	15800
754	renault	Laguna II 1.9 dci 110 cv	2004	116100	7000
